STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,ACTIVITY,Economic activity,PRICES,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,REF_YEAR_PRICE,Price reference year,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DE24A,Kronach,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2021,,85032.7,,DEU,Germany,E,Estimated value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,US042,"Dallas-Fort Worth, TX",_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2018,,135559,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,US042,"Dallas-Fort Worth, TX",_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2019,,134514.6,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DEB13,Altenkirchen (Westerwald),_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2021,,84311.5,,DEU,Germany,E,Estimated value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DEB13,Altenkirchen (Westerwald),_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2017,,83288.4,,DEU,Germany,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DEB13,Altenkirchen (Westerwald),_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2018,,83420,,DEU,Germany,E,Estimated value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DEB13,Altenkirchen (Westerwald),_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2019,,83103.3,,DEU,Germany,E,Estimated value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,PT16F,Região de Leiria,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2020,,66197.4,,PRT,Portugal,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,PT16F,Região de Leiria,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2021,,67487.6,,PRT,Portugal,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,PT16F,Região de Leiria,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2017,,68385.7,,PRT,Portugal,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,PT16F,Região de Leiria,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2018,,68021.2,,PRT,Portugal,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES431,Badajoz,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2021,,77443.3,,ESP,Spain,P,Provisional value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES431,Badajoz,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2017,,80282.4,,ESP,Spain,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES431,Badajoz,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2018,,79547.6,,ESP,Spain,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
